NORT_ARTIC_3,NORT_ARTIC_4,NORT_ARTIC_4.1,NORW_ARTIC_4.1,OXON_VeSeq,PHEC_ARTIC_3,SANG_ARTIC_3,SANG_ARTIC_4.1,NORT_ARTIC_3_prevalent20pct,NORT_ARTIC_4_prevalent20pct,NORT_ARTIC_4.1_prevalent20pct,NORW_ARTIC_4.1_prevalent20pct,OXON_VeSeq_prevalent20pct,PHEC_ARTIC_3_prevalent20pct,SANG_ARTIC_3_prevalent20pct,SANG_ARTIC_4.1_prevalent20pct,NORT_ARTIC_3_SB,NORT_ARTIC_4_SB,NORT_ARTIC_4.1_SB,NORW_ARTIC_4.1_SB,PHEC_ARTIC_3_SB,SANG_ARTIC_3_SB,SANG_ARTIC_4.1_SB,DeMaio_Mask,DeMaio_Caution,ARTIC_3,ARTIC_4,ARTIC_4.1
18664.0,18594.0,14101.0,13791.0,17545.0,5260.0,2730.0,6990.0,25244.0,25277.0,22786.0,23048.0,,,25231.0,1627.0,,23948.0,22674.0,8835.0,11083.0,847.0,554.0,5011.0,1814.0,43.0,38.0,38
18682.0,18596.0,14960.0,13998.0,22135.0,6911.0,2903.0,7252.0,25247.0,25286.0,23040.0,25277.0,,,26125.0,1678.0,,24130.0,22775.0,11186.0,11332.0,849.0,562.0,5257.0,1947.0,44.0,39.0,39
21650.0,18603.0,15521.0,14000.0,25202.0,7248.0,3096.0,7254.0,25252.0,25296.0,25277.0,25286.0,,,26137.0,1745.0,,24469.0,22786.0,11254.0,13378.0,854.0,844.0,5736.0,2087.0,45.0,40.0,40
23118.0,18607.0,18585.0,14013.0,25532.0,7252.0,3877.0,7262.0,25254.0,25312.0,25286.0,25296.0,,,26761.0,1931.0,,26270.0,22792.0,13481.0,17040.0,864.0,847.0,5743.0,2101.0,46.0,41.0,41
24410.0,18634.0,18589.0,14030.0,25627.0,7262.0,4007.0,7267.0,25273.0,25314.0,25296.0,25300.0,,,28253.0,2305.0,,26577.0,23040.0,13791.0,18585.0,879.0,849.0,5744.0,2247.0,47.0,42.0,42
25216.0,18637.0,18591.0,14033.0,25628.0,8354.0,4408.0,9866.0,25274.0,25316.0,25314.0,25312.0,,,,2323.0,,28093.0,23048.0,14030.0,19220.0,889.0,850.0,6167.0,2381.0,48.0,43.0,43
25225.0,18643.0,18596.0,14041.0,25807.0,10995.0,5895.0,11831.0,25277.0,25323.0,25316.0,25316.0,,,,2351.0,,28271.0,23055.0,14041.0,21987.0,1072.0,853.0,6255.0,3050.0,49.0,44.0,44
25228.0,18645.0,18603.0,14057.0,25949.0,10999.0,6943.0,12422.0,25280.0,25324.0,25323.0,25323.0,,,,2363.0,,,23063.0,14552.0,22917.0,1111.0,858.0,6869.0,3073.0,50.0,45.0,45
25240.0,18648.0,18607.0,14062.0,26289.0,11083.0,6990.0,15176.0,25286.0,25327.0,25324.0,25324.0,,,,2369.0,,,23948.0,14960.0,24410.0,1121.0,862.0,6874.0,3191.0,51.0,46.0,46
25244.0,18655.0,18634.0,14078.0,26650.0,12778.0,9430.0,15939.0,25296.0,25331.0,25327.0,25327.0,,,,2374.0,,,24424.0,15510.0,24933.0,1122.0,864.0,8022.0,3480.0,52.0,47.0,47
25247.0,18658.0,18637.0,14092.0,28253.0,13019.0,9802.0,17545.0,25316.0,25334.0,25331.0,25331.0,,,,2712.0,,,24469.0,15521.0,25325.0,1135.0,870.0,8026.0,3504.0,53.0,48.0,48
25252.0,18664.0,18643.0,14101.0,28469.0,13616.0,10097.0,18662.0,25323.0,25336.0,25334.0,25334.0,,,,2713.0,,,26270.0,16667.0,27638.0,1141.0,879.0,8328.0,3877.0,320.0,49.0,49
25254.0,18671.0,18645.0,14113.0,28886.0,14105.0,10787.0,18692.0,25324.0,25337.0,25336.0,25336.0,,,,2790.0,,,26577.0,16672.0,28461.0,1142.0,1072.0,8790.0,4463.0,321.0,324.0,324
25269.0,18682.0,18648.0,14559.0,,14108.0,11083.0,18696.0,25327.0,26270.0,25337.0,25337.0,,,,3307.0,,,28093.0,16920.0,28881.0,1145.0,1163.0,8827.0,4505.0,322.0,325.0,325
25273.0,18684.0,18655.0,14960.0,,14113.0,11160.0,18708.0,25331.0,26577.0,26270.0,26270.0,,,,3877.0,,,28271.0,16925.0,28916.0,1150.0,1164.0,8828.0,4692.0,323.0,326.0,326
25274.0,18685.0,18658.0,15338.0,,15007.0,11161.0,18712.0,25334.0,,26577.0,26577.0,,,,3918.0,,,29377.0,17144.0,29039.0,1156.0,1166.0,8835.0,4854.0,324.0,327.0,327
25277.0,18688.0,18662.0,16920.0,,15009.0,11168.0,18728.0,25336.0,,,,,,,4204.0,,,,18825.0,29187.0,1157.0,1437.0,8886.0,4991.0,325.0,328.0,328
25280.0,18692.0,18664.0,16925.0,,15157.0,11224.0,18733.0,25337.0,,,,,,,4226.0,,,,18827.0,29188.0,1158.0,1449.0,8887.0,5130.0,326.0,329.0,329
25286.0,18696.0,18682.0,17144.0,,15168.0,13458.0,18739.0,,,,,,,,4321.0,,,,18833.0,29402.0,1167.0,1454.0,9039.0,5196.0,327.0,330.0,330
25296.0,18699.0,18685.0,18591.0,,15177.0,13759.0,18744.0,,,,,,,,4502.0,,,,19025.0,,1244.0,1455.0,10129.0,5233.0,328.0,331.0,331
25300.0,19077.0,18688.0,18607.0,,15762.0,13824.0,18754.0,,,,,,,,5129.0,,,,19065.0,,1413.0,1457.0,10239.0,5322.0,329.0,332.0,332
25314.0,23040.0,18692.0,18634.0,,17040.0,15404.0,18769.0,,,,,,,,5145.0,,,,19077.0,,1419.0,1458.0,10554.0,5375.0,330.0,333.0,333
25316.0,23118.0,18696.0,18637.0,,17330.0,15643.0,19209.0,,,,,,,,5146.0,,,,19210.0,,1423.0,1459.0,10716.0,5393.0,331.0,334.0,334
25323.0,23466.0,18699.0,18643.0,,17385.0,16629.0,19210.0,,,,,,,,6371.0,,,,19212.0,,1433.0,1460.0,11074.0,5498.0,332.0,335.0,335
25324.0,23472.0,18708.0,18645.0,,17438.0,16989.0,19212.0,,,,,,,,6936.0,,,,19730.0,,1440.0,1461.0,11083.0,5657.0,333.0,336.0,336
25327.0,25247.0,19077.0,18648.0,,18585.0,17013.0,19214.0,,,,,,,,6941.0,,,,20004.0,,1441.0,1462.0,11535.0,5765.0,334.0,337.0,337
25331.0,25254.0,22674.0,18655.0,,20465.0,18202.0,19217.0,,,,,,,,6960.0,,,,21001.0,,1444.0,1463.0,13117.0,5766.0,335.0,338.0,338
25334.0,25273.0,22786.0,18658.0,,21075.0,19414.0,20587.0,,,,,,,,6961.0,,,,23040.0,,1449.0,1464.0,13402.0,5847.0,336.0,339.0,339
25336.0,25277.0,22792.0,18664.0,,21144.0,20596.0,22574.0,,,,,,,,6990.0,,,,23048.0,,1454.0,1476.0,13408.0,5880.0,337.0,340.0,340
25337.0,25286.0,23040.0,18682.0,,21525.0,20623.0,22786.0,,,,,,,,7248.0,,,,23055.0,,1455.0,1510.0,13476.0,6309.0,338.0,341.0,341
25614.0,25296.0,23118.0,18688.0,,21526.0,20627.0,23854.0,,,,,,,,7252.0,,,,23202.0,,1457.0,1536.0,13571.0,6310.0,339.0,342.0,342
,25300.0,23466.0,18825.0,,21974.0,20646.0,25277.0,,,,,,,,7254.0,,,,23948.0,,1458.0,1745.0,13599.0,6312.0,340.0,343.0,343
,25308.0,23469.0,18827.0,,21987.0,20647.0,25286.0,,,,,,,,7262.0,,,,24130.0,,1473.0,1757.0,13687.0,6483.0,341.0,408.0,408
,25312.0,23472.0,18833.0,,23466.0,20668.0,25296.0,,,,,,,,7267.0,,,,24469.0,,1476.0,1758.0,14222.0,6804.0,385.0,409.0,409
,25314.0,25240.0,19065.0,,24410.0,21236.0,25302.0,,,,,,,,7877.0,,,,26125.0,,1483.0,1762.0,14223.0,6866.0,386.0,410.0,410
,25316.0,25247.0,19077.0,,25324.0,21317.0,25308.0,,,,,,,,7898.0,,,,26194.0,,1729.0,1850.0,14225.0,6877.0,387.0,411.0,411
,25323.0,25254.0,19209.0,,25325.0,22135.0,25324.0,,,,,,,,8826.0,,,,26234.0,,1730.0,1851.0,14277.0,6971.0,388.0,412.0,412
,25324.0,25277.0,19210.0,,25521.0,22346.0,25530.0,,,,,,,,9144.0,,,,26270.0,,1744.0,2046.0,14851.0,6975.0,389.0,413.0,413
,25327.0,25286.0,19212.0,,25614.0,22452.0,25721.0,,,,,,,,9155.0,,,,26577.0,,1747.0,2051.0,14852.0,6977.0,390.0,414.0,414
,25331.0,25296.0,19214.0,,26137.0,22691.0,26469.0,,,,,,,,9156.0,,,,26709.0,,1748.0,2054.0,15435.0,7017.0,391.0,415.0,415
,25334.0,25300.0,19217.0,,26177.0,23031.0,26531.0,,,,,,,,9167.0,,,,27259.0,,1757.0,2059.0,15521.0,7038.0,392.0,416.0,416
,25336.0,25308.0,20004.0,,26188.0,23035.0,27373.0,,,,,,,,9866.0,,,,27807.0,,1758.0,2060.0,15922.0,7090.0,393.0,417.0,417
,25337.0,25312.0,23040.0,,26190.0,23064.0,28469.0,,,,,,,,10028.0,,,,28093.0,,1762.0,2061.0,16290.0,7118.0,394.0,418.0,418
,26270.0,25314.0,23048.0,,26693.0,24088.0,29360.0,,,,,,,,10049.0,,,,28271.0,,1766.0,2062.0,16887.0,7214.0,395.0,419.0,419
,26577.0,25316.0,23118.0,,26715.0,24213.0,,,,,,,,,10306.0,,,,28311.0,,1772.0,2065.0,17178.0,7246.0,396.0,420.0,420
,29371.0,25323.0,23466.0,,26720.0,25176.0,,,,,,,,,10896.0,,,,,,1775.0,2067.0,17179.0,7305.0,397.0,421.0,421
,,25324.0,23472.0,,27527.0,25196.0,,,,,,,,,10910.0,,,,,,1779.0,2072.0,17182.0,7396.0,398.0,422.0,422
,,25327.0,25247.0,,28274.0,25201.0,,,,,,,,,11199.0,,,,,,1780.0,2152.0,17567.0,7805.0,399.0,423.0,423
,,25331.0,25254.0,,28372.0,25202.0,,,,,,,,,11224.0,,,,,,1784.0,2363.0,19286.0,8459.0,400.0,424.0,424
,,25334.0,25259.0,,28461.0,25214.0,,,,,,,,,11520.0,,,,,,1785.0,2369.0,19298.0,8550.0,401.0,425.0,425
,,25336.0,25273.0,,28549.0,25216.0,,,,,,,,,11546.0,,,,,,1803.0,2370.0,19299.0,8658.0,402.0,426.0,426
,,25337.0,25277.0,,28627.0,25218.0,,,,,,,,,11831.0,,,,,,2046.0,2371.0,19484.0,8678.0,403.0,427.0,427
,,26270.0,25286.0,,29514.0,25231.0,,,,,,,,,12422.0,,,,,,2048.0,2374.0,19548.0,8688.0,404.0,428.0,428
,,26577.0,25291.0,,29517.0,25347.0,,,,,,,,,12792.0,,,,,,2049.0,2381.0,20056.0,8696.0,405.0,429.0,429
,,29371.0,25296.0,,29518.0,25521.0,,,,,,,,,13375.0,,,,,,2059.0,2405.0,20123.0,8943.0,406.0,430.0,430
,,,25300.0,,,25617.0,,,,,,,,,13768.0,,,,,,2060.0,2686.0,20465.0,8999.0,407.0,644.0,644
,,,25308.0,,,26116.0,,,,,,,,,14237.0,,,,,,2061.0,2687.0,21149.0,9141.0,408.0,645.0,645
,,,25312.0,,,26125.0,,,,,,,,,14266.0,,,,,,2062.0,2691.0,21151.0,9249.0,409.0,646.0,646
,,,25314.0,,,26137.0,,,,,,,,,14278.0,,,,,,2072.0,2693.0,21209.0,9276.0,642.0,647.0,647
,,,25316.0,,,26650.0,,,,,,,,,15098.0,,,,,,2081.0,2701.0,21212.0,9471.0,643.0,648.0,648
,,,25323.0,,,26693.0,,,,,,,,,15176.0,,,,,,2097.0,2712.0,21550.0,10046.0,644.0,649.0,649
,,,25324.0,,,26761.0,,,,,,,,,15186.0,,,,,,2123.0,2713.0,21551.0,10122.0,645.0,650.0,650
,,,25327.0,,,27800.0,,,,,,,,,15220.0,,,,,,2156.0,2720.0,21575.0,10157.0,646.0,651.0,651
,,,25331.0,,,28169.0,,,,,,,,,15763.0,,,,,,2342.0,2729.0,21968.0,10266.0,647.0,652.0,652
,,,25334.0,,,28253.0,,,,,,,,,15796.0,,,,,,2346.0,2731.0,21987.0,10764.0,648.0,653.0,653
,,,25336.0,,,28469.0,,,,,,,,,15939.0,,,,,,2352.0,2741.0,22335.0,10986.0,649.0,654.0,654
,,,25337.0,,,29366.0,,,,,,,,,16905.0,,,,,,2358.0,2980.0,22516.0,11048.0,650.0,655.0,655
,,,26270.0,,,29563.0,,,,,,,,,17187.0,,,,,,2360.0,2983.0,22521.0,11392.0,651.0,656.0,656
,,,26577.0,,,,,,,,,,,,17545.0,,,,,,2369.0,2990.0,22651.0,12041.0,652.0,657.0,657
,,,27384.0,,,,,,,,,,,,18466.0,,,,,,2374.0,2995.0,22661.0,12164.0,653.0,658.0,658
,,,,,,,,,,,,,,,18658.0,,,,,,2381.0,3000.0,22802.0,12413.0,654.0,659.0,659
,,,,,,,,,,,,,,,18662.0,,,,,,2398.0,3293.0,24389.0,12491.0,655.0,660.0,660
,,,,,,,,,,,,,,,18674.0,,,,,,2403.0,3294.0,24390.0,12506.0,656.0,661.0,661
,,,,,,,,,,,,,,,18682.0,,,,,,2408.0,3298.0,24410.0,12685.0,657.0,662.0,662
,,,,,,,,,,,,,,,18692.0,,,,,,2667.0,3300.0,24622.0,12698.0,658.0,663.0,663
,,,,,,,,,,,,,,,18696.0,,,,,,2676.0,3304.0,24933.0,12751.0,659.0,664.0,664
,,,,,,,,,,,,,,,18701.0,,,,,,2686.0,3307.0,25202.0,13161.0,660.0,665.0,665
,,,,,,,,,,,,,,,18708.0,,,,,,2691.0,3308.0,25381.0,13193.0,661.0,705.0,705
,,,,,,,,,,,,,,,18712.0,,,,,,2695.0,3313.0,25382.0,13239.0,662.0,706.0,706
,,,,,,,,,,,,,,,18715.0,,,,,,2697.0,3320.0,26549.0,13512.0,663.0,707.0,707
,,,,,,,,,,,,,,,18719.0,,,,,,2701.0,3338.0,27658.0,13513.0,704.0,708.0,708
,,,,,,,,,,,,,,,18728.0,,,,,,2715.0,3340.0,27660.0,13514.0,705.0,709.0,709
,,,,,,,,,,,,,,,18733.0,,,,,,2717.0,3353.0,27760.0,13650.0,706.0,710.0,710
,,,,,,,,,,,,,,,18739.0,,,,,,2729.0,3375.0,27761.0,13686.0,707.0,711.0,711
,,,,,,,,,,,,,,,18744.0,,,,,,2730.0,3594.0,27784.0,13693.0,708.0,712.0,712
,,,,,,,,,,,,,,,18754.0,,,,,,2949.0,3596.0,28184.0,14197.0,709.0,713.0,713
,,,,,,,,,,,,,,,18762.0,,,,,,3004.0,3602.0,28253.0,14488.0,710.0,714.0,714
,,,,,,,,,,,,,,,18766.0,,,,,,3011.0,3615.0,28985.0,14536.0,711.0,715.0,715
,,,,,,,,,,,,,,,18769.0,,,,,,3014.0,3627.0,29037.0,14548.0,712.0,716.0,716
,,,,,,,,,,,,,,,19209.0,,,,,,3015.0,3636.0,29039.0,14553.0,713.0,717.0,717
,,,,,,,,,,,,,,,19210.0,,,,,,3022.0,3896.0,29058.0,15075.0,714.0,718.0,718
,,,,,,,,,,,,,,,19212.0,,,,,,3023.0,3901.0,29425.0,15103.0,715.0,719.0,719
,,,,,,,,,,,,,,,19214.0,,,,,,3024.0,3902.0,29553.0,15199.0,716.0,720.0,720
,,,,,,,,,,,,,,,19217.0,,,,,,3025.0,3903.0,29594.0,15230.0,717.0,721.0,721
,,,,,,,,,,,,,,,19367.0,,,,,,3033.0,3912.0,,15513.0,718.0,722.0,722
,,,,,,,,,,,,,,,19683.0,,,,,,3037.0,3914.0,,15769.0,719.0,723.0,723
,,,,,,,,,,,,,,,19718.0,,,,,,3046.0,3916.0,,15771.0,720.0,724.0,724
,,,,,,,,,,,,,,,19985.0,,,,,,3052.0,3918.0,,16130.0,721.0,725.0,725
,,,,,,,,,,,,,,,20290.0,,,,,,3056.0,3924.0,,16132.0,722.0,726.0,726
,,,,,,,,,,,,,,,20305.0,,,,,,3096.0,3929.0,,16188.0,723.0,944.0,944
,,,,,,,,,,,,,,,20587.0,,,,,,3335.0,3932.0,,16210.0,724.0,945.0,945
,,,,,,,,,,,,,,,20596.0,,,,,,3338.0,3939.0,,16537.0,725.0,946.0,946
,,,,,,,,,,,,,,,21180.0,,,,,,3345.0,3950.0,,16738.0,943.0,947.0,947
,,,,,,,,,,,,,,,22290.0,,,,,,3351.0,3977.0,,16787.0,944.0,948.0,948
,,,,,,,,,,,,,,,22299.0,,,,,,3353.0,4209.0,,16988.0,945.0,949.0,949
,,,,,,,,,,,,,,,22574.0,,,,,,3354.0,4211.0,,17096.0,946.0,950.0,950
,,,,,,,,,,,,,,,22592.0,,,,,,3634.0,4502.0,,17479.0,947.0,951.0,951
,,,,,,,,,,,,,,,22786.0,,,,,,3638.0,4511.0,,17668.0,948.0,952.0,952
,,,,,,,,,,,,,,,23173.0,,,,,,3641.0,4514.0,,17675.0,949.0,953.0,953
,,,,,,,,,,,,,,,23854.0,,,,,,3644.0,4520.0,,17716.0,950.0,954.0,954
,,,,,,,,,,,,,,,24020.0,,,,,,3646.0,4521.0,,17754.0,951.0,955.0,955
,,,,,,,,,,,,,,,24070.0,,,,,,3653.0,4523.0,,17848.0,952.0,956.0,956
,,,,,,,,,,,,,,,24072.0,,,,,,3656.0,4524.0,,18297.0,953.0,957.0,957
,,,,,,,,,,,,,,,24676.0,,,,,,3661.0,4527.0,,18445.0,954.0,958.0,958
,,,,,,,,,,,,,,,24923.0,,,,,,3663.0,4818.0,,18465.0,955.0,959.0,959
,,,,,,,,,,,,,,,25274.0,,,,,,3666.0,4820.0,,18505.0,956.0,960.0,960
,,,,,,,,,,,,,,,25277.0,,,,,,3671.0,4824.0,,18506.0,957.0,961.0,961
,,,,,,,,,,,,,,,25280.0,,,,,,3924.0,4827.0,,18690.0,958.0,962.0,962
,,,,,,,,,,,,,,,25284.0,,,,,,3966.0,4829.0,,18716.0,959.0,963.0,963
,,,,,,,,,,,,,,,25286.0,,,,,,3967.0,4831.0,,19250.0,960.0,964.0,964
,,,,,,,,,,,,,,,25289.0,,,,,,3977.0,4832.0,,19338.0,961.0,965.0,965
,,,,,,,,,,,,,,,25294.0,,,,,,3980.0,4833.0,,19339.0,962.0,1017.0,1017
,,,,,,,,,,,,,,,25296.0,,,,,,3984.0,4835.0,,19344.0,963.0,1018.0,1018
,,,,,,,,,,,,,,,25302.0,,,,,,3987.0,4840.0,,19369.0,964.0,1019.0,1019
,,,,,,,,,,,,,,,25305.0,,,,,,3990.0,4841.0,,19406.0,1004.0,1020.0,1020
,,,,,,,,,,,,,,,25308.0,,,,,,3994.0,5129.0,,19482.0,1005.0,1021.0,1021
,,,,,,,,,,,,,,,25314.0,,,,,,4007.0,5131.0,,19732.0,1006.0,1022.0,1022
,,,,,,,,,,,,,,,25324.0,,,,,,4206.0,5135.0,,20126.0,1007.0,1023.0,1023
,,,,,,,,,,,,,,,25331.0,,,,,,4212.0,5145.0,,20128.0,1008.0,1024.0,1024
,,,,,,,,,,,,,,,25525.0,,,,,,4226.0,5169.0,,20254.0,1009.0,1025.0,1025
,,,,,,,,,,,,,,,25529.0,,,,,,4227.0,5176.0,,20857.0,1010.0,1026.0,1026
,,,,,,,,,,,,,,,25530.0,,,,,,4237.0,5444.0,,21281.0,1011.0,1027.0,1027
,,,,,,,,,,,,,,,25532.0,,,,,,4245.0,5447.0,,21302.0,1012.0,1028.0,1028
,,,,,,,,,,,,,,,25807.0,,,,,,4246.0,5449.0,,21304.0,1013.0,1029.0,1029
,,,,,,,,,,,,,,,25836.0,,,,,,4251.0,5451.0,,21305.0,1014.0,1030.0,1030
,,,,,,,,,,,,,,,25842.0,,,,,,4262.0,5751.0,,21379.0,1015.0,1031.0,1031
,,,,,,,,,,,,,,,25867.0,,,,,,4263.0,5753.0,,21609.0,1016.0,1032.0,1032
,,,,,,,,,,,,,,,26205.0,,,,,,4475.0,5758.0,,21658.0,1017.0,1033.0,1033
,,,,,,,,,,,,,,,26206.0,,,,,,4476.0,5759.0,,22329.0,1018.0,1034.0,1034
,,,,,,,,,,,,,,,26456.0,,,,,,4486.0,5765.0,,22389.0,1019.0,1035.0,1035
,,,,,,,,,,,,,,,26469.0,,,,,,4487.0,5766.0,,22393.0,1020.0,1036.0,1036
,,,,,,,,,,,,,,,26478.0,,,,,,4488.0,5768.0,,22410.0,1021.0,1037.0,1037
,,,,,,,,,,,,,,,26531.0,,,,,,4499.0,5777.0,,22416.0,1022.0,1038.0,1038
,,,,,,,,,,,,,,,26772.0,,,,,,4504.0,5784.0,,22420.0,1023.0,1039.0,1039
,,,,,,,,,,,,,,,27373.0,,,,,,4505.0,5791.0,,22488.0,1024.0,1040.0,1040
,,,,,,,,,,,,,,,27931.0,,,,,,4511.0,5794.0,,22500.0,1025.0,1041.0,1041
,,,,,,,,,,,,,,,28469.0,,,,,,4524.0,5796.0,,22506.0,1026.0,1042.0,1042
,,,,,,,,,,,,,,,28734.0,,,,,,4806.0,5798.0,,22515.0,1027.0,1043.0,1043
,,,,,,,,,,,,,,,28755.0,,,,,,4807.0,5800.0,,22797.0,1242.0,1245.0,1245
,,,,,,,,,,,,,,,28772.0,,,,,,4809.0,5803.0,,22892.0,1243.0,1246.0,1246
,,,,,,,,,,,,,,,29359.0,,,,,,4810.0,5805.0,,22904.0,1244.0,1247.0,1247
,,,,,,,,,,,,,,,29360.0,,,,,,4815.0,5816.0,,23016.0,1245.0,1248.0,1248
,,,,,,,,,,,,,,,,,,,,,4817.0,5837.0,,23116.0,1246.0,1249.0,1249
,,,,,,,,,,,,,,,,,,,,,4818.0,5844.0,,23122.0,1247.0,1250.0,1250
,,,,,,,,,,,,,,,,,,,,,4820.0,5858.0,,23144.0,1248.0,1251.0,1251
,,,,,,,,,,,,,,,,,,,,,4824.0,5866.0,,23162.0,1249.0,1252.0,1252
,,,,,,,,,,,,,,,,,,,,,4827.0,6077.0,,23288.0,1250.0,1253.0,1253
,,,,,,,,,,,,,,,,,,,,,4829.0,6078.0,,23291.0,1251.0,1254.0,1254
,,,,,,,,,,,,,,,,,,,,,4831.0,6080.0,,23292.0,1252.0,1255.0,1255
,,,,,,,,,,,,,,,,,,,,,4832.0,6083.0,,23302.0,1253.0,1256.0,1256
,,,,,,,,,,,,,,,,,,,,,4834.0,6383.0,,23343.0,1254.0,1257.0,1257
,,,,,,,,,,,,,,,,,,,,,4835.0,6384.0,,23519.0,1255.0,1258.0,1258
,,,,,,,,,,,,,,,,,,,,,4836.0,6392.0,,23652.0,1256.0,1259.0,1259
,,,,,,,,,,,,,,,,,,,,,4841.0,6395.0,,23738.0,1257.0,1260.0,1260
,,,,,,,,,,,,,,,,,,,,,4847.0,6689.0,,23745.0,1258.0,1261.0,1261
,,,,,,,,,,,,,,,,,,,,,4856.0,6690.0,,23763.0,1259.0,1262.0,1262
,,,,,,,,,,,,,,,,,,,,,4857.0,6694.0,,23766.0,1260.0,1263.0,1263
,,,,,,,,,,,,,,,,,,,,,5102.0,6701.0,,23775.0,1261.0,1264.0,1264
,,,,,,,,,,,,,,,,,,,,,5105.0,6704.0,,23855.0,1262.0,1265.0,1265
,,,,,,,,,,,,,,,,,,,,,5108.0,6708.0,,24497.0,1263.0,1337.0,1337
,,,,,,,,,,,,,,,,,,,,,5109.0,6816.0,,24557.0,1312.0,1338.0,1338
,,,,,,,,,,,,,,,,,,,,,5115.0,6848.0,,24673.0,1313.0,1339.0,1339
,,,,,,,,,,,,,,,,,,,,,5123.0,6884.0,,24728.0,1314.0,1340.0,1340
,,,,,,,,,,,,,,,,,,,,,5129.0,6924.0,,24942.0,1315.0,1341.0,1341
